name,capacity,zone_name,features
SAT-CL-101,45,SAT Computer Labs,Computer Lab|Projector|Air Conditioning|CAD Workstations
SAT-CL-102,45,SAT Computer Labs,Computer Lab|Projector|Air Conditioning|CAD Workstations
SAT-CL-103,40,SAT Computer Labs,Computer Lab|Projector|Air Conditioning|CAD Workstations
SAT-CL-104,40,SAT Computer Labs,Computer Lab|Projector|Air Conditioning|CAD Workstations
SAT-CL-105,50,SAT Computer Labs,Computer Lab|Projector|Air Conditioning|CAD Workstations
SAT-CL-106,50,SAT Computer Labs,Computer Lab|Projector|Air Conditioning|CAD Workstations
SAT-CL-201,45,SAT Computer Labs,Computer Lab|Projector|Air Conditioning|CAD Workstations
SAT-CL-202,45,SAT Computer Labs,Computer Lab|Projector|Air Conditioning|CAD Workstations
SAT-NC-101,60,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-102,60,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-103,55,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-104,55,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-105,50,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-106,50,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-201,65,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-202,65,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-203,60,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-NC-204,60,SAT Normal Classes,Projector|Whiteboard|Air Conditioning
SAT-LT-A,250,SAT Lecture Theatres,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing
SAT-LT-B,200,SAT Lecture Theatres,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing
SAT-LT-C,180,SAT Lecture Theatres,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing
SAT-LT-D,150,SAT Lecture Theatres,Projector|Microphone System|Auditorium Seating|Air Conditioning|Video Conferencing
NH-101,55,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-102,55,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-103,50,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-104,50,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-105,60,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-106,60,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-201,55,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-202,55,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-203,50,NH Normal Classes,Projector|Whiteboard|Air Conditioning
NH-204,50,NH Normal Classes,Projector|Whiteboard|Air Conditioning
