base_name,is_parent,level,group,size,parent_group_name
COSC,T,100,,200,
COSC,F,100,A,50,COSC 100 LEVEL
COSC,F,100,B,50,COSC 100 LEVEL
COSC,F,100,C,50,COSC 100 LEVEL
COSC,F,100,D,50,COSC 100 LEVEL
COSC,T,200,,180,
COSC,F,200,A,45,COSC 200 LEVEL
COSC,F,200,B,45,COSC 200 LEVEL
COSC,F,200,C,45,COSC 200 LEVEL
COSC,F,200,D,45,COSC 200 LEVEL
COSC,T,300,,140,
COSC,F,300,A,35,COSC 300 LEVEL
COSC,F,300,B,35,COSC 300 LEVEL
COSC,F,300,C,35,COSC 300 LEVEL
COSC,F,300,D,35,COSC 300 LEVEL
COSC,T,400,,80,
COSC,F,400,A,40,COSC 400 LEVEL
COSC,F,400,B,40,COSC 400 LEVEL
SENG,T,100,,160,
SENG,F,100,A,40,SENG 100 LEVEL
SENG,F,100,B,40,SENG 100 LEVEL
SENG,F,100,C,40,SENG 100 LEVEL
SENG,F,100,D,40,SENG 100 LEVEL
SENG,T,200,,140,
SENG,F,200,A,35,SENG 200 LEVEL
SENG,F,200,B,35,SENG 200 LEVEL
SENG,F,200,C,35,SENG 200 LEVEL
SENG,F,200,D,35,SENG 200 LEVEL
SENG,T,300,,120,
SENG,F,300,A,30,SENG 300 LEVEL
SENG,F,300,B,30,SENG 300 LEVEL
SENG,F,300,C,30,SENG 300 LEVEL
SENG,F,300,D,30,SENG 300 LEVEL
SENG,T,400,,80,
SENG,F,400,A,40,SENG 400 LEVEL
SENG,F,400,B,40,SENG 400 LEVEL
INFT,T,100,,150,
INFT,F,100,A,50,INFT 100 LEVEL
INFT,F,100,B,50,INFT 100 LEVEL
INFT,F,100,C,50,INFT 100 LEVEL
INFT,T,200,,130,
INFT,F,200,A,43,INFT 200 LEVEL
INFT,F,200,B,43,INFT 200 LEVEL
INFT,F,200,C,44,INFT 200 LEVEL
INFT,T,300,,100,
INFT,F,300,A,34,INFT 300 LEVEL
INFT,F,300,B,33,INFT 300 LEVEL
INFT,F,300,C,33,INFT 300 LEVEL
INFT,T,400,,70,
INFT,F,400,A,35,INFT 400 LEVEL
INFT,F,400,B,35,INFT 400 LEVEL
CYBS,T,100,,100,
CYBS,F,100,A,50,CYBS 100 LEVEL
CYBS,F,100,B,50,CYBS 100 LEVEL
CYBS,T,200,,90,
CYBS,F,200,A,45,CYBS 200 LEVEL
CYBS,F,200,B,45,CYBS 200 LEVEL
CYBS,T,300,,70,
CYBS,F,300,A,35,CYBS 300 LEVEL
CYBS,F,300,B,35,CYBS 300 LEVEL
CYBS,T,400,,60,
CYBS,F,400,A,30,CYBS 400 LEVEL
CYBS,F,400,B,30,CYBS 400 LEVEL
EENG,T,100,,180,
EENG,F,100,A,45,EENG 100 LEVEL
EENG,F,100,B,45,EENG 100 LEVEL
EENG,F,100,C,45,EENG 100 LEVEL
EENG,F,100,D,45,EENG 100 LEVEL
EENG,T,200,,160,
EENG,F,200,A,40,EENG 200 LEVEL
EENG,F,200,B,40,EENG 200 LEVEL
EENG,F,200,C,40,EENG 200 LEVEL
EENG,F,200,D,40,EENG 200 LEVEL
EENG,T,300,,120,
EENG,F,300,A,40,EENG 300 LEVEL
EENG,F,300,B,40,EENG 300 LEVEL
EENG,F,300,C,40,EENG 300 LEVEL
EENG,T,400,,90,
EENG,F,400,A,45,EENG 400 LEVEL
EENG,F,400,B,45,EENG 400 LEVEL
MENG,T,100,,170,
MENG,F,100,A,43,MENG 100 LEVEL
MENG,F,100,B,43,MENG 100 LEVEL
MENG,F,100,C,42,MENG 100 LEVEL
MENG,F,100,D,42,MENG 100 LEVEL
MENG,T,200,,150,
MENG,F,200,A,38,MENG 200 LEVEL
MENG,F,200,B,38,MENG 200 LEVEL
MENG,F,200,C,37,MENG 200 LEVEL
MENG,F,200,D,37,MENG 200 LEVEL
MENG,T,300,,110,
MENG,F,300,A,37,MENG 300 LEVEL
MENG,F,300,B,37,MENG 300 LEVEL
MENG,F,300,C,36,MENG 300 LEVEL
MENG,T,400,,90,
MENG,F,400,A,45,MENG 400 LEVEL
MENG,F,400,B,45,MENG 400 LEVEL
CENG,T,100,,160,
CENG,F,100,A,40,CENG 100 LEVEL
CENG,F,100,B,40,CENG 100 LEVEL
CENG,F,100,C,40,CENG 100 LEVEL
CENG,F,100,D,40,CENG 100 LEVEL
CENG,T,200,,140,
CENG,F,200,A,35,CENG 200 LEVEL
CENG,F,200,B,35,CENG 200 LEVEL
CENG,F,200,C,35,CENG 200 LEVEL
CENG,F,200,D,35,CENG 200 LEVEL
CENG,T,300,,100,
CENG,F,300,A,34,CENG 300 LEVEL
CENG,F,300,B,33,CENG 300 LEVEL
CENG,F,300,C,33,CENG 300 LEVEL
