"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"ACC 102","Introduction to Financial Accounting II","Soetan  Timothy Adisa","MKT",3.0,false,ACC 102
1,"ACC 102","Introduction to Financial Accounting II","Soetan  Timothy Adisa","BUSAD",3.0,false,ACC 102
1,"ACC 102","Introduction to Financial Accounting II","Alu  Chituru Nkechinyere Aseoluwa","ACCT A",3.0,false,ACC 102
1,"ACC 102","Introduction to Financial Accounting II","Olurin  Oluwatoyosi Tolulope","ACCT B",3.0,false,ACC 102
1,"ACC 102","Introduction to Financial Accounting II","OLALERE  MAYOWA DAVID","ECONS",3.0,false,ACC 102
1,"ACC 102","Introduction to Financial Accounting II","Akinsanya  Rebecca","Finance",3.0,false,ACC 102
1,"ACCT102","Principles Of Accounting II","Awoyinka  Gbenga","ACCT A",3.0,false,ACCT102
1,"ACCT102","Principles Of Accounting II","Soetan  Timothy Adisa","BUSAD",3.0,false,ACCT102
1,"BED 114","Financial Accounting for Business Educators I  ","UWANNAH  Ngozi","BusEdu",2.0,false,BED 114
1,"BU-ACC 208","Business Law","SOTUNSA  ERIOLUWA","ACCT A",3.0,false,BU-ACC 208
1,"BU-ACC 208","Business Law","Oyagiri  Buduka Isaac","ACCT B",3.0,false,BU-ACC 208
1,"BU-ACC 210","Introduction to Human Resoruce Accounting","ONU  GIFT","ACCT B",2.0,false,BU-ACC 210
1,"BU-ACC 210","Introduction to Human Resoruce Accounting","ONU  GIFT","ACCT A",2.0,false,BU-ACC 210
1,"BU-ACC 212","Introduction to Business Analytics","Enyi. Patrick Enyi","ACCT B",2.0,false,BU-ACC 212
1,"BU-ACC 212","Introduction to Business Analytics","Enyi. Patrick Enyi","ACCT A",2.0,false,BU-ACC 212
2,"ACC 206","Accounting Laboratory","AJAYI-OWOEYE  Ayooluwa olotu","ACCT B",3.0,false,ACC 206
2,"ACC 206","Accounting Laboratory","AJAYI-OWOEYE  Ayooluwa olotu","ACCT A",3.0,false,ACC 206
2,"ACCT202","Financial Accounting II","Olurin  Oluwatoyosi Tolulope","ACCT B",3.0,false,ACCT202
2,"ACCT202","Financial Accounting II","Alu  Chituru Nkechinyere Aseoluwa","ACCT A",3.0,false,ACCT202
2,"ACCT204","Cost Accounting II","Owolabi  Babatunde A","ACCT B",3.0,false,ACCT204
2,"ACCT204","Cost Accounting II","Owolabi  Babatunde A","ACCT A",3.0,false,ACCT204
2,"BU-GST 022","Citizenship Orientation","ABIOYE  Funke Victoria","Biol",0.0,false,BU-GST 022
2,"BU-GST 022","Citizenship Orientation","ABIOYE  Funke Victoria","Chem",0.0,false,BU-GST 022
2,"BU-GST 022","Citizenship Orientation","ABIOYE  Funke Victoria","AGRIC",0.0,false,BU-GST 022
2,"BU-GST 022","Citizenship Orientation","ABIOYE  Funke Victoria","BIO-CHEM",0.0,false,BU-GST 022
