"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"BU-ANA 112","Fundamentals of Mammalian and Human Anatomy ","OLANREWAJU  John A.","Anatomy",3.0,false,BU-ANA 112
2,"ANA 202","Histology of Basic Tissues","ENYA  JOSEPH","MED-LAB",2.0,false,ANA 202
2,"ANA 202","Histology of Basic Tissues","Fabiyi  Oluseyi Sunday","Anatomy",2.0,false,ANA 202
2,"ANA 204","Anatomy of Thorax Abdomen Pelvis and Perineum","Ogunsanya  Sanmi Tunde","Nursing Direct Entry",3.0,false,ANA 204
2,"ANA 204","Anatomy of Thorax Abdomen Pelvis and Perineum","Ogunsanya  Sanmi Tunde","Nursing Group A",3.0,false,ANA 204
2,"ANA 204","Anatomy of Thorax Abdomen Pelvis and Perineum","OLANREWAJU  John A.","Anatomy",3.0,false,ANA 204
2,"ANA 204","Anatomy of Thorax Abdomen Pelvis and Perineum","Ogunsanya  Sanmi Tunde","Nursing Group B",3.0,false,ANA 204
2,"ANA 204","Anatomy of Thorax Abdomen Pelvis and Perineum","Ogunsanya  Sanmi Tunde","Nursing Group C",3.0,false,ANA 204
2,"ANAT202","Gross Anatomy of the Trunk","OLANREWAJU  John A.","Physiology",3.0,false,ANAT202
2,"BU-ANA 208","Intro to Histopathology","Adelodun  Stephen Taiye","Anatomy",3.0,false,BU-ANA 208
2,"BU-ANA 212","Teratology","Ogunbiyi E. O","Anatomy",3.0,false,BU-ANA 212
3,"ANA 302","Neuroanatomy","Ogunsanya  Sanmi Tunde","Anatomy",2.0,false,ANA 302
3,"ANA 312","Radiological Anatomy and Techniques","Adelodun  Stephen Taiye","Anatomy",2.0,false,ANA 312
3,"ANA 322","Histochemistry","Adelodun  Stephen Taiye","Anatomy",2.0,false,ANA 322
3,"ANA 350","Student Industrial Work Experience Scheme","Adelakin  Lola Adeola","Anatomy",6.0,false,ANA 350
3,"ANA 352","Research Methodology","Adelodun  Stephen Taiye","Anatomy",2.0,false,ANA 352
3,"BU-ANA 304","Prosthetics and Human Biomechanics","JOSHUA  NAOMI","Anatomy",2.0,false,BU-ANA 304
3,"BU-ANA 314","Introductory Pharmacology","Adelodun  Stephen Taiye","Anatomy",2.0,false,BU-ANA 314
4,"ANAT402","Human Reproductive Technologies","Adelodun  Stephen Taiye","Anatomy",3.0,false,ANAT402
4,"ANAT404","Seminar in Gross Anatomy","Adelodun  Stephen Taiye","Anatomy",4.0,false,ANAT404
4,"ANAT406","Research Seminar","Fabiyi  Oluseyi Sunday","Anatomy",3.0,false,ANAT406
4,"ANAT408","Introduction to Histopathology","ONYEMA  KELECHI ROSELYN","Anatomy",3.0,false,ANAT408
4,"ANAT412","Fundamentals of Anatomical Education","Adelodun  Stephen Taiye","Anatomy",3.0,false,ANAT412
4,"ANAT414","Entrepreneurial Anatomy","Ogunsanya  Sanmi Tunde","Anatomy",3.0,false,ANAT414
4,"ANAT416","Laboratory Techniques for Light Microscope and Introduction to Electron Microscope","Fabiyi  Oluseyi Sunday","Anatomy",3.0,false,ANAT416
4,"ANAT490","Research Project","Adelodun  Stephen Taiye","Anatomy",6.0,false,ANAT490
200,"BU-ANA 218","Gross Anatomy of Head","OLANREWAJU  John A.","MED-LAB",3.0,false,BU-ANA 218

