"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"ARC 122","Architectural Graphics and Lettering","LAWAL  Akinsola Musiliu","Estate Management",2.0,false,ARC 122
1,"BU-ARC 102","Fundamentals of Architecture ","OYEWUNMI  Aderemi Adebobajo","Architecture",2.0,false,BU-ARC 102
1,"BU-ARC 104","Built Heritage II","LAWAL  Akinsola Musiliu","Architecture",2.0,false,BU-ARC 104
1,"BU-ARC 106","Freehand Drawing II","LAWAL  OLAMIDEJI","Architecture",2.0,false,BU-ARC 106
1,"BU-PHL 102","Arguments and Critical Thinking","Filade  Bankole","ALL CLASS OPTIONS",2.0,false,BU-PHL 102
1,"BU-SOC 102","Introduction to Anthropology","Oyerinde  Oyewole Olusesan","ALL CLASS OPTIONS",2.0,false,BU-SOC 102
1,"BU-SOC 104","Introduction to Psychology","NWAKA  Ejii  Promisen","ALL CLASS OPTIONS",2.0,false,BU-SOC 104
1,"FAA 104","Graphics Communication II","LAWAL  OLAMIDEJI","Architecture",2.0,false,FAA 104
1,"FAA 126","Introduction to Sustainable Built Environment","LAWAL  Akinsola Musiliu","Architecture",2.0,false,FAA 126
1,"URP 104","Introduction to Environmental  Sciences","UGWUEJIM  STEPHEN","Estate Management",2.0,false,URP 104
2,"ARC 202","Architectural Design Studio II","OYEWUNMI  Aderemi Adebobajo","Architecture",6.0,false,ARC 202
2,"ARC 204","Building Components and Methods II","LAWAL  Akinsola Musiliu","Architecture",2.0,false,ARC 204
2,"ARC 206","Building Materials Workshop Practice","LAWAL  OLAMIDEJI","Architecture",2.0,false,ARC 206
2,"ARC 208","Building Structure II","OYEWUNMI  Aderemi Adebobajo","Architecture",2.0,false,ARC 208
2,"BU-ARC 210","History of Architecture","LAWAL  OLAMIDEJI","Architecture",2.0,false,BU-ARC 210
2,"BU-CEE 202","Elements of Architecture","LAWAL  Akinsola Musiliu","Civil Engineering",2.0,false,BU-CEE 202
3,"ARC 304","Entrepreneurship for Architect","OYEWUNMI  Aderemi Adebobajo","Architecture",2.0,false,ARC 304
3,"ARC 350","Students Industrial Work Experience Scheme (SIWES)","UGWUEJIM  STEPHEN","Architecture",6.0,false,ARC 350
3,"BU-ARC 308","Landscape Architecture","LAWAL  OLAMIDEJI","Architecture",2.0,false,BU-ARC 308
3,"BU-ARC 310","African Architecture","LAWAL  Akinsola Musiliu","Architecture",2.0,false,BU-ARC 310

