"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"BIO 102","General Biology II","Ajiboye  Oluwapelumi Micheal","MICRO-BIO",2.0,false,BIO 102
1,"BIO 102","General Biology II","OGUNBIYI  OPEYEMI CHRISTIANA","Biol",2.0,false,BIO 102
1,"BIO 102","General Biology II","OGUNBIYI  OPEYEMI CHRISTIANA","MED-LAB",2.0,false,BIO 102
1,"BIO 102","General Biology II","ADEWUNMI  Aderiike","Nursing Group A",2.0,false,BIO 102
1,"BIO 102","General Biology II","ADEWUNMI  Aderiike","Nursing Group B",2.0,false,BIO 102
1,"BIO 102","General Biology II","ANIMASHAUN  Rufus","PUBHEALTH",2.0,false,BIO 102
1,"BIO 102","General Biology II","ANIMASHAUN  Rufus","Physiology",2.0,false,BIO 102
1,"BIO 102","General Biology II","OGUNBIYI  OPEYEMI CHRISTIANA","Chem",2.0,false,BIO 102
1,"BIO 102","General Biology II","ADEWUNMI  Aderiike","Nursing Group C",2.0,false,BIO 102
1,"BIO 102","General Biology II","OGUNBIYI  OPEYEMI CHRISTIANA","Anatomy",2.0,false,BIO 102
1,"BIO 102","General Biology II","Ajiboye  Oluwapelumi Micheal","BIO-CHEM",2.0,false,BIO 102
1,"BIO 102","General Biology II","OGUNBIYI  OPEYEMI CHRISTIANA","NUTRITION",2.0,false,BIO 102
1,"BIO 108 ","General Biology Practical II ","Ajiboye  Oluwapelumi Micheal","MICRO-BIO",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","OGUNBIYI  OPEYEMI CHRISTIANA","NUTRITION",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","ANIMASHAUN  Rufus","PUBHEALTH",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","ANIMASHAUN  Rufus","Physiology",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","OGUNBIYI  OPEYEMI CHRISTIANA","Biol",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","Ajiboye  Oluwapelumi Micheal","BIO-CHEM",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","ADEWUNMI  Aderiike","Nursing Group C",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","ADEWUNMI  Aderiike","Nursing Group B",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","ADEWUNMI  Aderiike","Nursing Group A",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","OGUNBIYI  OPEYEMI CHRISTIANA","MED-LAB",1.0,false,BIO 108 
1,"BIO 108 ","General Biology Practical II ","OGUNBIYI  OPEYEMI CHRISTIANA","Chem",1.0,false,BIO 108 
1,"BIOL102","General Biology II","ADEWUNMI  Aderiike","NUTRITION",3.0,false,BIOL102
1,"BU-BIO 112","Cultural and Economic Biology","Odutayo, Foluke Odunlami Idowu","Biol",2.0,false,BU-BIO 112
1,"BU-BIO 114","Health and Nutrition Biology","Ajiboye  Oluwapelumi Micheal","Biol",2.0,false,BU-BIO 114
1,"BU-BIO 114","Health and Nutrition Biology","Ajiboye  Oluwapelumi Micheal","MED-LAB",2.0,false,BU-BIO 114
1,"BU-MTH 102","Elementary Mathematics II","Ayinde, Semiu Akinpelu","MED-LAB",2.0,false,BU-MTH 102
1,"BU-MTH 104","Mechanics","Agunbiade   Samson Ademola","Maths",3.0,false,BU-MTH 104
1,"BU-MTH 106","Applied Algebra","UKA  Uchenna A.","Maths",2.0,false,BU-MTH 106
1,"CHEM102","General Chemistry II","Idika  Digbo Iku","Physics/Electronics",3.0,false,CHEM102
1,"CHEM102","General Chemistry II","Idika  Digbo Iku","NUTRITION",3.0,false,CHEM102
1,"CHM 102","General Chemistry II","BAMIGBOYE   OYEDOLAPO","MICRO-BIO",2.0,false,CHM 102
1,"CHM 102","General Chemistry II","Shokunbi Oluwatosin Sarah","AGRIC",2.0,false,CHM 102
1,"CHM 102","General Chemistry II","Shokunbi Oluwatosin Sarah","Nursing Group B",2.0,false,CHM 102
1,"CHM 102","General Chemistry II","BANKOLE  OLUWATOSIN","Biol",2.0,false,CHM 102
1,"CHM 102","General Chemistry II","Shokunbi Oluwatosin Sarah","Nursing Group A",2.0,false,CHM 102
1,"CHM 102","General Chemistry II","BAMIGBOYE   OYEDOLAPO","Electrical and Electronic Engineering",2.0,false,CHM 102
