"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"AMS 102 ","Basic Mathematics","Maku Olukayode Emmanuel","BUSAD",2.0,false,AMS 102 
1,"AMS 102 ","Basic Mathematics","Maku Olukayode Emmanuel","ACCT B",2.0,false,AMS 102 
1,"AMS 102 ","Basic Mathematics","Akande  Comfort Omowunmi","Finance",2.0,false,AMS 102 
1,"AMS 102 ","Basic Mathematics","Maku Olukayode Emmanuel","ACCT A",2.0,false,AMS 102 
1,"AMS 102 ","Basic Mathematics","UKA  Uchenna A.","IRM",2.0,false,AMS 102 
1,"AMS 102 ","Basic Mathematics","UKA  Uchenna A.","PUB",2.0,false,AMS 102 
1,"AMS 102 ","Basic Mathematics","Maku Olukayode Emmanuel","MKT",2.0,false,AMS 102 
1,"AMS 104","Principles of Project Management","Ahannaya   Chinedu Gandolph","IRM",2.0,false,AMS 104
1,"AMS 104","Principles of Project Management","Ahannaya   Chinedu Gandolph","Finance",2.0,false,AMS 104
1,"AMS 104","Principles of Project Management","Dogo  Edafe","BUSAD",2.0,false,AMS 104
1,"AMS 104","Principles of Project Management","Ahannaya   Chinedu Gandolph","ACCT B",2.0,false,AMS 104
1,"AMS 104","Principles of Project Management","Adewumi  Eyitayo Folashade","PUB",2.0,false,AMS 104
1,"AMS 104","Principles of Project Management","Dogo  Edafe","MKT",2.0,false,AMS 104
1,"AMS 104","Principles of Project Management","Ahannaya   Chinedu Gandolph","ACCT A",2.0,false,AMS 104
1,"BED 122","Business Mathematics","UWANNAH  Ngozi","BusEdu",2.0,false,BED 122
1,"BED 124","Principles of Marketing for Business Educators","UWANNAH  Ngozi","BusEdu",2.0,false,BED 124
1,"BSAD102","Principles Of Management II","Ayeni  David","BUSAD",3.0,false,BSAD102
1,"BSAD112","Business Mathematics Ii","Maku Olukayode Emmanuel","ACCT A",2.0,false,BSAD112
1,"BSAD112","Business Mathematics Ii","Makun   Olukayode ","BUSAD",2.0,false,BSAD112
1,"BSAD112","Business Mathematics Ii","DAVID  JOSEPH","MASS-COMM",2.0,false,BSAD112
1,"BSAD112","Business Mathematics Ii","Maku Olukayode Emmanuel","ACCT B",2.0,false,BSAD112
1,"BUA 102","Introduction to Business II","Egbuta  Olive Ugadiya","BUSAD",2.0,false,BUA 102
1,"BU-BED 102","Introduction to Vocational Education","UWANNAH  Ngozi","BusEdu",3.0,false,BU-BED 102
1,"BU-BED 104","Business Methods","UWANNAH  Ngozi","BusEdu",3.0,false,BU-BED 104
1,"BU-BED 106","Introduction to Job Search Skills","UWANNAH  Ngozi","BusEdu",3.0,false,BU-BED 106
1,"BU-BUA 102","Principles of Management 11","Egbuta  Olive Ugadiya","BUSAD",2.0,false,BU-BUA 102
