"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"BU-ECO 102","Principles of Economics for Information Systems","ADELEKE  ADEDAMOLA BAMIDELE","Info Systems",2.0,false,BU-ECO 102
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","BusEdu",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","CS",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","PUBHEALTH",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","PUBHEALTH Group B",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","PSCR",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","Estate Management",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","Music",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","MICRO-BIO",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","HIST",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","IT",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","Cyber Security",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","Civil Engineering",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","NUTRITION",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","Mechanical Engineering",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","DADA  Rachael Lola","ALL CLASS OPTIONS",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","ENGL",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","French",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","Physiology",0.0,false,BU-GST 012
1,"BU-GST 012","Citizenship Orientation","ABIOYE  Funke Victoria","ILD",0.0,false,BU-GST 012
