"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"BU-EDM 108","Guidance and Counselling for Educational Management","Adeoye  Ayodele Olusegun","EDU PLAN & ADMIN",3.0,false,BU-EDM 108
1,"BU-EDM 114","Computer Application in Educational Management","IBE-MOSES  KELECHI Comfort","EDU PLAN & ADMIN",2.0,false,BU-EDM 114
1,"BU-EDM 122","Educational Administration Reform in Nigeria","UWANNAH  Ngozi","EDU PLAN & ADMIN",3.0,false,BU-EDM 122
1,"BU-EDU 104","Introduction to Reading Proficiency","JAMES  NMA CLARION","EngEdu",3.0,false,BU-EDU 104
1,"BU-GCE 110","Laboratory Work 1","UWANNAH  Ngozi","Guidance and Counselling",1.0,false,BU-GCE 110
1,"BU-GCE 112","Emotional Intelligence","Adeoye  Ayodele Olusegun","Guidance and Counselling",3.0,false,BU-GCE 112
1,"EDM 102","Introduction to Management and Human Resources Behaviors in Organizations","UWANNAH  Ngozi","EDU PLAN & ADMIN",2.0,false,EDM 102
1,"GCE 102","Principles and Techniques of Guidance and Counselling","Filade  Bankole","Guidance and Counselling",2.0,false,GCE 102
2,"BU-EDM 218","School and Community Relations","IBE-MOSES  KELECHI Comfort","EDU PLAN & ADMIN",2.0,false,BU-EDM 218
2,"BU-EDM 220","Ethical Framework in Educational Management","UWANNAH  Ngozi","EDU PLAN & ADMIN",2.0,false,BU-EDM 220
2,"BU-EDM 222","Operations Management in Educational Practice","IBE-MOSES  KELECHI Comfort","EDU PLAN & ADMIN",3.0,false,BU-EDM 222
2,"EDM 202","Programme Organization and Timetabling in Nigerian Schools","IBE-MOSES  KELECHI Comfort","EDU PLAN & ADMIN",2.0,false,EDM 202
2,"EDM 204","Intro to Educational Planning and Policy","IBE-MOSES  KELECHI Comfort","EDU PLAN & ADMIN",2.0,false,EDM 204
2,"EDU 202","Economics Education Methods","UWANNAH  Ngozi","EDU ECONS",2.0,false,EDU 202
3,"BED 320","Marketing Management for Business Educators","UWANNAH  Ngozi","BusEdu",2.0,false,BED 320
3,"BED 326","Nigerian Business Environment","UWANNAH  Ngozi","BusEdu",2.0,false,BED 326
3,"BED 328","Word Processing for Business Educators II","UWANNAH  Ngozi","BusEdu",2.0,false,BED 328
3,"BED 350","SIWES","UWANNAH  Ngozi","BusEdu",6.0,false,BED 350
3,"BU-BED 302","Organization and Administration of Vocational Education","UWANNAH  Ngozi","BusEdu",3.0,false,BU-BED 302
3,"BU-EDM 316","Accounting for School Management","IBE-MOSES  KELECHI Comfort","EDU PLAN & ADMIN",3.0,false,BU-EDM 316
