"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"ESM 112 ","Introduction to Property Management","UGWUEJIM  STEPHEN","Estate Management",2.0,false,ESM 112 
2,"BU-ESM 208","Intermediate Professional Practices French II","ABOLUWARIN  Simon Abidoye","Estate Management",2.0,false,BU-ESM 208
2,"BU-ESM 224","Real Property Description and Reporting Studio II","Ogbonna  Achimba Chibueze","Estate Management",2.0,false,BU-ESM 224
3,"BU-ESM 300	","Community Land Development/ Service & Volunteering Practicum","Ogbonna  Achimba Chibueze","Estate Management",1.0,false,BU-ESM 300	
3,"BU-ESM 302","Extractive Resource Land Use & Sustainability Principles","UGWUEJIM  STEPHEN","Estate Management",2.0,false,BU-ESM 302
3,"BU-ESM 304","Port Real Estate Management","Ogbonna  Achimba Chibueze","Estate Management",2.0,false,BU-ESM 304
3,"BU-ESM 306","Housing and Urban Regeneration","UGWUEJIM  STEPHEN","Estate Management",2.0,false,BU-ESM 306
3,"BU-ESM 308","Advanced Professional Practice French III","ABOLUWARIN  Simon Abidoye","Estate Management",2.0,false,BU-ESM 308
3,"BU-ESM 314","Real Estate Business II-Seminar","Ogbonna  Achimba Chibueze","Estate Management",1.0,false,BU-ESM 314
3,"BU-ESM 390","SIWES I","UGWUEJIM  STEPHEN","Estate Management",2.0,false,BU-ESM 390
3,"ESM 322","Principles of Valuation II","UGWUEJIM  STEPHEN","Estate Management",3.0,false,ESM 322
3,"PPL 358","Property Law - Landlord and Tenant","Miller  Nzenwata","Estate Management",2.0,false,PPL 358
100,"BU-ESM 106","Property Description and Maintenance Survey Studio","Ogbonna  Achimba Chibueze","Estate Management",2.0,false,BU-ESM 106
200,"BUD 222","Building Construction and Materials","Ogbonna  Achimba Chibueze","Estate Management",2.0,false,BUD 222
200,"ESM 222","Introduction to Vauation II","UGWUEJIM  STEPHEN","Estate Management",3.0,false,ESM 222
200,"ESM 242","Land Economics II","UGWUEJIM  STEPHEN","Estate Management",2.0,false,ESM 242
200,"SVY 262","Basic Surveying II","Ogbonna  Achimba Chibueze","Estate Management",2.0,false,SVY 262
200,"URP 204","Introduction to Land Use Planning","UGWUEJIM  STEPHEN","Estate Management",2.0,false,URP 204

