"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"BU-HIS 112","New Statesin World Politics","Ekanade   Olumide","HIST",2.0,false,BU-HIS 112
1,"BU-HIS 112","New Statesin World Politics","Adeyomoye  Deborah Adeyomoye Deborah","HIST",2.0,false,BU-HIS 112
1,"HIS 102","History of West Africa from 1000 A.D. 1500","TOMMY  GRACE","HIST",3.0,false,HIS 102
1,"HIS 102","History of West Africa from 1000 A.D. 1500","Nwachukwu  Chituru Udo","HIST",3.0,false,HIS 102
1,"HIS 104","Introduction to Economic History","ORJI  BONIFACE IFEANYI","HIST",2.0,false,HIS 104
1,"HIS 104","Introduction to Economic History","UGWUKAH  Alexander","HIST",2.0,false,HIS 104
1,"HIS 106","Archaelogy of Nigeria","Adeleke  Odunayo D.","HIST",2.0,false,HIS 106
1,"HIS 106","Archaelogy of Nigeria","TOMMY  GRACE","HIST",2.0,false,HIS 106
1,"HIS 108","Africans in the Diaspora from Antiguity","ORJI  BONIFACE IFEANYI","HIST",2.0,false,HIS 108
1,"HIS 108","Africans in the Diaspora from Antiguity","Adeyomoye  Deborah Adeyomoye Deborah","HIST",2.0,false,HIS 108
1,"HIS 108","Africans in the Diaspora from Antiguity","Nwachukwu  Chituru Udo","FREN",2.0,false,HIS 108
1,"HIST114","Major World Civilizations","Nwachukwu  Chituru Udo","HIST",3.0,false,HIST114
2,"BU-HIS 206","Political Economy in Internatinal Relations","Popoola  Micheal","HIST",2.0,false,BU-HIS 206
2,"BU-HIS 206","Political Economy in Internatinal Relations","UGWUKAH  Alexander","DE History",2.0,false,BU-HIS 206
2,"BU-HIS 206","Political Economy in Internatinal Relations","UGWUKAH  Alexander","HIST",2.0,false,BU-HIS 206
2,"BU-HIS 208","History of Yoruba Land","Oke  Olayiwola Enoch","DE History",2.0,false,BU-HIS 208
2,"BU-HIS 208","History of Yoruba Land","Adeyomoye  Deborah Adeyomoye Deborah","HIST",2.0,false,BU-HIS 208
2,"BU-HIS 208","History of Yoruba Land","Oke  Olayiwola Enoch","HIST",2.0,false,BU-HIS 208
2,"BU-HIS 220","Introductory French","MURITALA  SHUAIB ADEWALE Adewale","HIST",2.0,false,BU-HIS 220
2,"BU-HIS 220","Introductory French","ABOLUWARIN  Simon Abidoye","HIST",2.0,false,BU-HIS 220
2,"BU-HIS 220","Introductory French","ABOLUWARIN  Simon Abidoye","DE History",2.0,false,BU-HIS 220
2,"HIS 202","Economic History of Nigeria in the 19th Century","Ekanade   Olumide","HIST",3.0,false,HIS 202
2,"HIS 202","Economic History of Nigeria in the 19th Century","ORJI  BONIFACE IFEANYI","DE History",3.0,false,HIS 202
2,"HIS 202","Economic History of Nigeria in the 19th Century","ORJI  BONIFACE IFEANYI","HIST",3.0,false,HIS 202
2,"HIS 204","History of Islam and Christianity in West Africa from  1500","Nwachukwu  Chituru Udo","DE History",3.0,false,HIS 204
2,"HIS 204","History of Islam and Christianity in West Africa from  1500","Oke  Olayiwola Enoch","HIST",3.0,false,HIS 204
2,"HIS 204","History of Islam and Christianity in West Africa from  1500","Nwachukwu  Chituru Udo","HIST",3.0,false,HIS 204
2,"HIST202","Principles Of International Organizations","Ayanlowo, Oluwatosin","HIST",3.0,false,HIST202
2,"HIST204","Colonial Conquest and Independence Movements in West Africa (1885 - 1960)","Adeleke  Odunayo D.","HIST",3.0,false,HIST204
2,"HIST210","Nigeria History  from 1800 – 1900","TOMMY  GRACE","HIST",3.0,false,HIST210
2,"HIST214","Development of Global Political Economy","ORJI  BONIFACE IFEANYI","HIST",3.0,false,HIST214
2,"HIST216","Europe From French Revolution to World War II","Adeyomoye  Deborah Adeyomoye Deborah","HIST",3.0,false,HIST216
3,"BU-HIS 310","Foreign Policy of Nigeria","Oke  Olayiwola Enoch","HIST",3.0,false,BU-HIS 310
3,"HIS 302","History Research Methods, Script Writing and Digital History Workshop (Entrepreneurship Specific Course)","Ayanlowo, Oluwatosin","HIST",4.0,false,HIS 302
3,"HIS 302","History Research Methods, Script Writing and Digital History Workshop (Entrepreneurship Specific Course)","Akpuh  Charles C","HIST",4.0,false,HIS 302
3,"HIS 304","	Women in History up to the 21st Century","Nwachukwu  Chituru Udo","HIST",2.0,false,HIS 304
3,"HIS 306","History of the Industrial Revolutions from 1750 to 2010","Ekanade   Olumide","HIST",2.0,false,HIS 306
3,"HIS 350","The Practice of History/Internship Training (SIWES)","ORJI  BONIFACE IFEANYI","HIST",6.0,false,HIS 350
3,"HIS 350","The Practice of History/Internship Training (SIWES)","Ayanlowo, Oluwatosin","HIST",6.0,false,HIS 350
3,"HIST306","Southern Africa in the 19th and 20th Centuries","UGWUKAH  Alexander","HIST",3.0,false,HIST306
3,"HIST310","Problems and Prospects of Regional Economic Cooperation in West Africa","Oke  Olayiwola Enoch","HIST",3.0,false,HIST310
3,"HIST312","International Relations Theories","Ayanlowo, Oluwatosin","HIST",3.0,false,HIST312
3,"HIST316","Historical Research Method","Akpuh  Charles C","HIST",3.0,false,HIST316
3,"HIST318","Introduction to Contemporary Strategic Studies","Akpuh  Charles C","HIST",3.0,false,HIST318
3,"HIST332","Nigerian Foreign Policy","Popoola  Micheal","HIST",3.0,false,HIST332
4,"HIST402","Japan from Meiji Restoration to the End of World War II","Adesegun  Abiodun A","HIST",3.0,false,HIST402
4,"HIST406","Problems and Issues in African Historiography","Omolewa  Michael","HIST",3.0,false,HIST406
4,"HIST408","South-South and Regional Co-Operation in the Third World","UGWUKAH  Alexander","HIST",3.0,false,HIST408
4,"HIST412","Contemporary History of the Middle East","Adesegun  Abiodun A","HIST",3.0,false,HIST412
4,"HIST418","Foreign Policies and Diplomatic Practices of African States","Popoola  Micheal","HIST",3.0,false,HIST418
4,"HIST490","Research Project","Akpuh  Charles C","HIST",6.0,false,HIST490

