"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
1,"LAW 102","Introduction to Logic","Oyagiri  Buduka Isaac","JURISPRUDENCE & PUBLIC LAW",2.0,false,LAW 102
1,"PUL 102","Legal Methods II","Abangwu  Nzeribe","JURISPRUDENCE & PUBLIC LAW",4.0,false,PUL 102
3,"BU-CIL 306","Corporate Governance II","Ekundayo  Veronica Ngozi","JURISPRUDENCE & PUBLIC LAW",2.0,false,BU-CIL 306
3,"BU-CIL 308","Intellectual Property Law II","Arowolo  Ayoyemi Omotayo","JURISPRUDENCE & PUBLIC LAW",4.0,false,BU-CIL 308
3,"BU-PPL 306","Family Law II","Ajibade  Toluwalase Toyosi","JURISPRUDENCE & PUBLIC LAW",4.0,false,BU-PPL 306
3,"BU-PUL 308","Law of Religious Liberty II","Odunaike  Dorcas Adeleye","JURISPRUDENCE & PUBLIC LAW",2.0,false,BU-PUL 308
3,"BU-PUL 310","Environmental Law II","Imosemi  Adekunbi Folashade","JURISPRUDENCE & PUBLIC LAW",4.0,false,BU-PUL 310
3,"CIL 304","Commercial Law II","Odunaike  Dorcas Adeleye","JURISPRUDENCE & PUBLIC LAW",4.0,false,CIL 304
3,"LAWS322","Company Law","ADEBAYO  JOSEPHINE ADEJOKE","BUSAD",3.0,false,LAWS322
3,"LAWS326","Business Law II","ADEBAYO  JOSEPHINE ADEJOKE","BUSAD",3.0,false,LAWS326
3,"PPL 302","Law of Torts II","James  Dinchi Louisa","JURISPRUDENCE & PUBLIC LAW",4.0,false,PPL 302
3,"PUL 302","Criminal Law II","Imosemi  Adekunbi Folashade","JURISPRUDENCE & PUBLIC LAW",4.0,false,PUL 302
4,"LAWS402","Nigerian Land Law II","Olanrewaju  Pius Oladeji","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS402
4,"LAWS404","Law of  Trusts","Oyagiri  Buduka Isaac","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS404
4,"LAWS412","Conflict of Laws II","SOTUNSA  ERIOLUWA","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS412
4,"LAWS414","Oil and Gas law II","Agada  Joseph Negedu","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS414
4,"LAWS416","Law of Business Taxation","Taiwo  Ademola Adetayo","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS416
4,"LAWS418","Law of Insurance","Olanrewaju  Pius Oladeji","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS418
4,"LAWS420","LAW OF ARBITRATION","Adebayo  Adesoji Kolawole","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS420
4,"LAWS426","Law of Evidence and Procedure II","Aderibigbe  Titilayo Oyenihun","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS426
4,"LAWS428","Introduction to Nigerian Legal Practice II","Adebayo  Adesoji Kolawole","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS428
5,"LAWS502","Jurisprudence and Legal Theory II","Oyagiri  Buduka Isaac","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS502
5,"LAWS504","Company Law II","Sodipo  Bankole Adekunle Akintoye","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS504
5,"LAWS506","Public International Law II","Emejuru  Adiele-Chi Okachukwu","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS506
5,"LAWS512","Conveyancing II","Olanrewaju  Pius Oladeji","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS512
5,"LAWS518","Shipping and Admiralty law II","Abangwu  Nzeribe","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS518
5,"LAWS534","Health Law and Policy II","Onyemelukwe-Onuobia  Cheluchi","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS534
5,"LAWS536","Human Rights and Child and the Law II","Emejuru  Adiele-Chi Okachukwu","JURISPRUDENCE & PUBLIC LAW",4.0,false,LAWS536
5,"LAWS590","Research Project","Ekundayo  Veronica Ngozi","JURISPRUDENCE & PUBLIC LAW",6.0,false,LAWS590
200,"BU-CIL 224","Indigenous Law and Dispute Settlement","Taiwo  Ademola Adetayo","JURISPRUDENCE & PUBLIC LAW",3.0,false,BU-CIL 224
200,"BU-PUL 222","Gender and the Law II","Agada  Joseph Negedu","JURISPRUDENCE & PUBLIC LAW",4.0,false,BU-PUL 222
200,"CIL 202","Law of Contract II","Ekundayo  Veronica Ngozi","JURISPRUDENCE & PUBLIC LAW",4.0,false,CIL 202
200,"LAW 212","Law of Contract and Tort II","Miller  Nzenwata","Estate Management",2.0,false,LAW 212
200,"PUL 202","Constitutional Law II","Abangwu  Nzeribe","JURISPRUDENCE & PUBLIC LAW",4.0,false,PUL 202
200,"PUL 204","Nigerian Legal System II","Onyemelukwe-Onuobia  Cheluchi","JURISPRUDENCE & PUBLIC LAW",4.0,false,PUL 204

