"Year Taken","Course ID","Course Title","Instuctor","Option","Credit Hours","No. GPA","Details"
3,"BU-BCH 330","Forensic Biochemistry for Allied Health Sciences","UKANGWA  Ngozi Angela","MED-LAB",2.0,false,BU-BCH 330
3,"BU-BCH 332","Hormonal Biochemistry for Allied Health Sciences","Ogunbiyi Babafemi Tosin","MED-LAB",2.0,false,BU-BCH 332
3,"BU-PHA 344","Advanced Pharmacology and Toxicology","Funwei  Roland Ibenipere","MED-LAB",2.0,false,BU-PHA 344
3,"MLS 302","Basic Haematology","Udofia  Stephen Sunday","MED-LAB",2.0,false,MLS 302
3,"MLS 304","Basic Histopathology","OLUWALOYE  Taiwo G","MED-LAB",2.0,false,MLS 304
3,"MLS 306","Laboratory Posting I","OFEM  Oluchi","MED-LAB",2.0,false,MLS 306
3,"MLS 306","Laboratory Posting I","Okorochi  Chinenye Alaezi","MED-LAB",2.0,false,MLS 306
3,"MLS 306","Laboratory Posting I","OSAKUE  Eguagie O.","MED-LAB",2.0,false,MLS 306
3,"MLS 308","Fundamentals of blood group serology","ILEOMA  Emmanuel","MED-LAB",2.0,false,MLS 308
3,"MLS 310","Biomedical Engineering","Okorochi  Chinenye Alaezi","MED-LAB",2.0,false,MLS 310
4,"MLSC410","Introduction to Cytology","Okorochi  Chinenye Alaezi","MED-LAB",2.0,false,MLSC410
4,"MLSC412","Medical Entomology and Parasitology","Effiong  Effiong Joseph","MED-LAB",2.0,false,MLSC412
4,"MLSC412","Medical Entomology and Parasitology","Dada  Michael","MED-LAB",2.0,false,MLSC412
4,"MLSC412","Medical Entomology and Parasitology","Enitan  S.","MED-LAB",2.0,false,MLSC412
4,"MLSC412","Medical Entomology and Parasitology","OFEM  Oluchi","MED-LAB",2.0,false,MLSC412
4,"MLSC414","Immunology and Immunochemistry II","OLUWALOYE  Taiwo G","MED-LAB",3.0,false,MLSC414
4,"MLSC414","Immunology and Immunochemistry II","ILEOMA  Emmanuel","MED-LAB",3.0,false,MLSC414
4,"MLSC414","Immunology and Immunochemistry II","Enitan  S.","MED-LAB",3.0,false,MLSC414
4,"MLSC414","Immunology and Immunochemistry II","ADEJUMO ","MED-LAB",3.0,false,MLSC414
4,"MLSC416","Histopathology","OLUWALOYE  Taiwo G","MED-LAB",3.0,false,MLSC416
4,"MLSC416","Histopathology","Bankole  Julius","MED-LAB",3.0,false,MLSC416
4,"MLSC416","Histopathology","Okorochi  Chinenye Alaezi","MED-LAB",3.0,false,MLSC416
